Company,firm,year,mktcap,sharepr,bkvalue,opincome,sharesno,EPS,BVPS,tdebt,debteq,equity,avrgdebteq,dividends,div,retearnings,size,Q-ratio,EV,netprofit
EOH Ltd,8,2013,7825231890,81.13,588782000,495723000,96453000,5.139529097,6.104340974,1836225000,0.234654388,1620727000,0.378308757,67464000,1,883170000,0,13.29054198,7741820890,332859000
EOH Ltd,8,2014,12427008330,106.59,627629000,719514000,116587000,6.171477094,5.383353204,3057251000,0.246016653,2628810000,0.378308757,99753000,1,1270985000,0,19.79992692,12730341330,504799000
EOH Ltd,8,2015,19685387880,152.28,1519042000,1046605000,129271000,8.09620874,11.75083352,3864083000,0.196291941,4508624000,0.378308757,140956000,1,1813023000,0,12.95908071,19968203880,718938000
EOH Ltd,8,2016,22366838822,158.91,1441603000,1372421000,140751613,9.750659127,10.24217747,6602776000,0.295203808,6585845000,0.378308757,194300000,1,2544975000,0,15.51525546,24042798822,966322000
EOH Ltd,8,2017,15477844557,103.12,2486905000,1781746000,150095467,11.87075157,16.5688215,8158379000,0.527100461,8561604000,0.378308757,253019000,1,3491764000,0,6.223737761,15062250557,1128456000
EQSTRA,9,2010,1912085038,7.4,1817000000,888000000,258389870,3.436667235,7.03200942,8407000000,4.396770977,1826000000,4.145243671,0,0,334000000,0,1.052330786,7181085038,45000000
EQSTRA,9,2011,2474779132,5.99,2371000000,714000000,413151775,1.728178464,5.738811119,7282000000,2.942484808,2380000000,4.137644804,0,0,278000000,0,1.043770195,7873779132,-55000000
EQSTRA,9,2012,3036445583,7.1,2666000000,770000000,427668392,1.80046039,6.233801819,7953000000,2.619180809,2688000000,4.137644804,107167000,0,-297647000,0,1.138951832,9593445583,299000000
EQSTRA,9,2013,2908145066,6.8,2929000000,969000000,427668392,2.26577418,6.848764264,9609000000,3.304168046,2980000000,4.137644804,0,0,-78008000,0,0.992879845,10224145066,488000000
EQSTRA,9,2014,3249806734,7.9,3184000000,1029000000,411367941,2.501410289,7.740029503,10026000000,3.085106537,3275000000,4.137644804,115000000,1,1222000000,0,1.020667944,11158806734,390000000
EQSTRA,9,2015,2316001508,5.63,3284000000,872000000,411367941,2.119756824,7.983120882,10425000000,4.501292406,3451000000,4.137644804,150000000,1,1314000000,0,0.705237974,9664001508,251000000
EQSTRA,9,2016,1127298332,2.78,478521000,297440000,405502997,0.733508759,1.180067727,6869088000,6.093407403,3770000000,4.137644804,5000000,1,1569000000,0,2.35579699,1260535332,254000000
EQSTRA,9,2017,1115133242,2.75,1135432000,673103000,405502997,1.659921147,2.80005822,6935614000,6.219538384,2715250000,4.137644804,7000000,1,-688000000,0,0.982122436,5667718242,-657019000
NORTHAM PLATINUM,10,2010,16611170520,46.06,8833154000,784975000,360642000,2.1766045,24.49285996,1256153000,0.07562098,8833154000,0.30423488,216158000,1,1081862000,1,1.880548049,15424461520,641026000
NORTHAM PLATINUM,10,2011,11633100500,30.42,10115352000,385294000,382416190,1.007525335,26.45116045,1814219000,0.155953179,10115352000,0.30423488,90202000,1,1363194000,1,1.150044062,9935247500,349209000
NORTHAM PLATINUM,10,2012,11115336375,29.06,10413247000,338689000,382496090,0.885470489,27.22445346,1830605000,0.164691822,10413247000,0.30423488,57364000,1,1622833000,1,1.067422714,11045640375,300644000
NORTHAM PLATINUM,10,2013,15104498833,39.48,10815635000,607676000,382586090,1.588337935,28.2698072,3542029000,0.23450159,10815635000,0.30423488,21747000,1,2220477000,1,1.396542952,15116799833,523856000
NORTHAM PLATINUM,10,2014,14030813116,35.29,11391872000,61482000,397586090,0.154638207,28.65259195,3349124000,0.238697784,11391872000,0.30423488,11066000,1,2223135000,1,1.231651226,13417710116,18270000
NORTHAM PLATINUM,10,2015,14110743948,27.68,9216425000,595813000,509781212,1.168762179,18.07917746,9934911000,0.70406713,9216425000,0.30423488,3908000,1,1139808000,1,1.531043105,10016318948,-1038427000
NORTHAM PLATINUM,10,2016,26325101788,51.64,8727984000,383348000,509781212,0.751985344,17.12103898,10249879000,0.389357621,8727984000,0.30423488,0,0,631545000,1,3.016172095,23508735788,-488441000
